COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;82;0.26;31;51;14;62;6;
28005;Alcala  de Henares;141332;1665;1.18;576;1089;286;1134;245;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;74;0.13;14;60;22;50;2;
28049;Coslada;19304;496;2.57;185;311;58;354;84;
28053;Daganzo de Arriba;68940;15;0.02;3;12;3;12;0;
28057;Fresno de Torote;50796;23;0.05;2;21;7;16;0;
28075;Loeches;70896;286;0.4;90;196;43;238;5;
28083;Meco;55888;213;0.38;76;137;35;132;46;
28084;Mejorada del Campo;28708;283;0.99;68;215;81;199;3;
28104;Paracuellos de Jarama;70108;754;1.08;196;558;184;562;8;
28130;San Fernando de Henares;62072;593;0.96;158;435;100;463;30;
28136;Santorcaz;45184;25;0.06;9;16;7;15;3;
28137;Santos de la Humosa, Los;55876;121;0.22;37;84;20;97;4;
28148;Torrejon de Ardoz;51936;1504;2.9;349;1155;410;1047;47;
28154;Torres de la Alameda;69520;279;0.4;73;206;67;204;8;
28156;Valdeavero;29956;0;0;0;0;0;0;0;
28172;Villalbilla;55264;587;1.06;133;454;163;415;9;
